name,squad,position,club,tm_id,market_value_eur
Samú Costa,Portugal,DF,Mallorca,657430,
Utkir Yusupov,Uzbekistan,GK,Navbahor Namangan,311958,
Abdukodir Khusanov,Uzbekistan,DF,Manchester City,763079,
Farrukh Sayfiev,Uzbekistan,DF,Neftchi Fergana,212499,
Rustam Ashurmatov,Uzbekistan,DF,Esteghlal,288883,
Akmal Mozgovoy,Uzbekistan,MF,Pakhtakor,562022,
Otabek Shukurov,Uzbekistan,MF,Baniyas,294525,
Jamshid Iskanderov,Uzbekistan,MF,Neftchi Fergana,260857,
Jaloliddin Masharipov,Uzbekistan,MF,Esteghlal,274536,
Oston Urunov,Uzbekistan,MF,Persepolis,492556,
Sherzod Nasrullaev,Uzbekistan,DF,Nasaf,608537,
Eldor Shomurodov,Uzbekistan,FW,İstanbul Başakşehir,358166,
Umar Eshmurodov,Uzbekistan,DF,Nasaf,493725,
Botirali Ergashev,Uzbekistan,GK,Neftchi Fergana,312690,
Dostonbek Khamdamov,Uzbekistan,MF,Pakhtakor,294502,
Abdulla Abdullaev,Uzbekistan,DF,Dibba,570272,
Azizjon Ganiev,Uzbekistan,MF,Al Bataeh,431911,
Abbosbek Fayzullaev,Uzbekistan,MF,İstanbul Başakşehir,754037,
Sherzod Esanov,Uzbekistan,MF,Bukhara,989068,
Bekhruz Karimov,Uzbekistan,DF,Surkhon Termiz,1106187,
Avazbek Ulmasaliev,Uzbekistan,DF,AGMK,538764,
Jakhongir Urozov,Uzbekistan,DF,Dinamo Samarqand,989069,
Dominik Livaković,Croatia,GK,Dinamo Zagreb,205927,
Josip Stanišić,Croatia,DF,Bayern Munich,483046,
Marin Pongračić,Croatia,DF,Fiorentina,282144,
Joško Gvardiol,Croatia,DF,Manchester City,475959,
Duje Ćaleta-Car,Croatia,DF,Real Sociedad,238266,
Josip Šutalo,Croatia,DF,Ajax,371001,
Nikola Moro,Croatia,MF,Bologna,316934,
Andrej Kramarić,Croatia,FW,TSG Hoffenheim,46580,
Luka Modrić,Croatia,MF,Milan,27992,
Ivor Pandur,Croatia,GK,Hull City,371013,
Nikola Vlašić,Croatia,MF,Torino,293200,
Ivan Perišić,Croatia,FW,PSV Eindhoven,42460,
Mario Pašalić,Croatia,MF,Atalanta,205938,
Martin Baturina,Croatia,MF,Como,580451,
Petar Sučić,Croatia,MF,Inter Milan,668207,
Kristijan Jakić,Croatia,DF,FC Augsburg,374954,
Toni Fruk,Croatia,MF,Rijeka,432758,
Igor Matanović,Croatia,FW,SC Freiburg,605268,
Luka Sučić,Croatia,MF,Real Sociedad,502722,
Luka Vušković,Croatia,DF,Hamburger SV,892160,
Dominik Kotarski,Croatia,GK,Copenhagen,370997,
Marco Pašalić,Croatia,FW,Orlando City SC,395928,
Martin Erlić,Croatia,DF,Midtjylland,357003,
Petar Musa,Croatia,FW,FC Dallas,387110,
Jordan Pickford,England,GK,Everton,130164,
Ezri Konsa,England,DF,Aston Villa,413403,
Nico O'Reilly,England,DF,Manchester City,743413,
Declan Rice,England,MF,Arsenal,357662,
John Stones,England,DF,Manchester City,186590,
Marc Guéhi,England,DF,Manchester City,392757,
Bukayo Saka,England,FW,Arsenal,433177,
Harry Kane,England,FW,Bayern Munich,132098,
Jude Bellingham,England,MF,Real Madrid,581678,
Marcus Rashford,England,FW,Barcelona,258923,
Tino Livramento,England,DF,Newcastle United,503981,
Dean Henderson,England,GK,Crystal Palace,258919,
Jordan Henderson,England,MF,Brentford,61651,
Dan Burn,England,DF,Newcastle United,134270,
Kobbie Mainoo,England,MF,Manchester United,820374,
Morgan Rogers,England,MF,Aston Villa,503743,
Ollie Watkins,England,FW,Aston Villa,324358,
Noni Madueke,England,FW,Arsenal,503987,
Eberechi Eze,England,MF,Arsenal,479999,
Ivan Toney,England,FW,Al-Ahli,251664,
James Trafford,England,GK,Manchester City,566799,
Reece James,England,DF,Chelsea,245585,
Djed Spence,England,DF,Tottenham Hotspur,483348,
Jarell Quansah,England,DF,Bayer Leverkusen,632349,
Alidu Seidu,Ghana,DF,Rennes,798404,
Caleb Yirenkyi,Ghana,MF,Nordsjælland,1240763,
Jonas Adjetey,Ghana,DF,VfL Wolfsburg,734676,
Thomas Partey,Ghana,MF,Villarreal,230784,
Abdul Mumin,Ghana,DF,Rayo Vallecano,451801,
Abdul Fatawu,Ghana,FW,Leicester City,864121,
Kwasi Sibo,Ghana,MF,Oviedo,538006,
Jordan Ayew,Ghana,FW,Leicester City,108354,
Brandon Thomas-Asante,Ghana,FW,Coventry City,451747,
Antoine Semenyo,Ghana,MF,Manchester City,583255,
Joseph Anang,Ghana,GK,St Patrick's Athletic,576099,
Christopher Bonsu Baah,Ghana,FW,Al-Qadsiah,1119447,
Gideon Mensah,Ghana,DF,Auxerre,1060523,
Elisha Owusu,Ghana,MF,Auxerre,395695,
Benjamin Asare,Ghana,GK,Hearts of Oak,1285574,
Abdul Rahman Baba,Ghana,DF,PAOK,224884,
Jerome Opoku,Ghana,DF,İstanbul Başakşehir,408563,
Iñaki Williams,Ghana,FW,Athletic Bilbao,255508,
Augustine Boakye,Ghana,MF,Saint-Étienne,1032813,
Kojo Peprah Oppong,Ghana,DF,Nice,1113451,
Kamaldeen Sulemana,Ghana,FW,Atalanta,746695,
Derrick Luckassen,Ghana,DF,Pafos,241457,
Ernest Nuamah,Ghana,FW,Lyon,955070,
Prince Kwabena Adu,Ghana,FW,Viktoria Plzeň,734799,
Marvin Senaya,Ghana,DF,Auxerre,830890,
Luis Mejía,Panama,GK,Nacional,76715,
José Córdoba,Panama,DF,Norwich City,698415,
Fidel Escobar,Panama,DF,Saprissa,345716,
Edgardo Fariña,Panama,DF,Pari Nizhny Novgorod,923177,
Adalberto Carrasquilla,Panama,MF,UNAM,375300,
Tomás Rodríguez,Panama,FW,Saprissa,1450963,
Ismael Díaz,Panama,MF,León,243298,
Yoel Bárcenas,Panama,MF,Mazatlán,283473,
César Samudio,Panama,GK,Marathón,865550,
Jiovany Ramos,Panama,DF,Puerto Cabello,403809,
Carlos Harvey,Panama,DF,Minnesota United FC,628806,
Andrés Andrade,Panama,DF,LASK,120093,
José Fajardo,Panama,FW,Universidad Católica,941781,
Cecilio Waterman,Panama,FW,Universidad de Concepción,177064,
Alberto Quintero,Panama,MF,Plaza Amador,126019,
Aníbal Godoy,Panama,MF,San Diego FC,161671,
César Yanis,Panama,MF,Cobresal,741098,
Orlando Mosquera,Panama,GK,Al-Fayha,402979,
Michael Amir Murillo,Panama,DF,Beşiktaş,354482,
Azarias Londoño,Panama,FW,Universidad Católica,860998,
Roderick Miller,Panama,DF,Turan Tovuz,157154,
Abdoulaye Seck,Senegal,DF,Maccabi Haifa,265383,
Ahmed Fathy,Qatar,MF,Al-Arabi,1530249,
Ahmed Qasem,Iraq,FW,Nashville SC,833817,
Ajdin Hrustic,Australia,FW,Heracles Almelo,265625,
Aleksandar Pavlović,Germany,MF,Bayern Munich,792380,
Alexis Vega,Mexico,FW,Toluca,424689,
Ali Ahmed,Canada,FW,Norwich City,995642,
Ali Nemati,Iran,DF,Foolad,527092,
Andy Robertson,Scotland,DF,Liverpool,234803,
Antoine Mendy,Senegal,DF,Nice,891998,
Antonio Sanabria,Paraguay,FW,Cremonese,234523,
Armando González,Mexico,FW,Guadalajara,837619,
Benjamin Nygren,Sweden,MF,Celtic,475949,
Brian Rodríguez,Uruguay,FW,América,465818,
Brice Samba,France,GK,Rennes,191056,
Bruno Guimarães,Brazil,MF,Newcastle United,520624,
Carlos Acevedo,Mexico,GK,Santos Laguna,356042,
Casemiro,Brazil,MF,Manchester United,16306,
Cherif Ndiaye,Senegal,FW,Samsunspor,480705,
Chris Wood,New Zealand,FW,Nottingham Forest,108725,
Craig Gordon,Scotland,GK,Heart of Midlothian,12589,
Cristian Martínez,Panama,MF,Ironi Kiryat Shmona,374720,
Cristian Roldan,United States,MF,Seattle Sounders FC,354792,
Cristian Romero,Argentina,DF,Tottenham Hotspur,355915,
César Blackman,Panama,DF,Slovan Bratislava,440383,
Daniel Svensson,Sweden,DF,Borussia Dortmund,579287,
Danilo Luiz,Brazil,DF,Flamengo,145707,
David Zima,Czech Republic,DF,Slavia Prague,544149,
Deniz Gül,Turkey,FW,Porto,1063292,
Douglas Santos,Brazil,DF,Zenit Saint Petersburg,220793,
Elliot Anderson,England,MF,Nottingham Forest,567576,
Eric Davis,Panama,DF,Plaza Amador,121791,
Eric García,Spain,DF,Barcelona,466794,
Eric Smith,Sweden,DF,FC St. Pauli,292534,
Fabian Rieder,Switzerland,MF,FC Augsburg,507341,
Florian Wirtz,Germany,MF,Liverpool,598577,
Félix Torres,Ecuador,DF,Internacional,468174,
Gilberto Mora,Mexico,MF,Tijuana,231614,
Gonzalo Valle,Ecuador,GK,LDU Quito,351941,
Guillermo Martínez,Mexico,FW,Pumas,347932,
Gustaf Nilsson,Sweden,FW,Club Brugge,320440,
Gustavo Gómez,Paraguay,DF,Palmeiras,215390,
Gustavo Velázquez,Paraguay,DF,Cerro Porteño,389399,
Hossein Hosseini,Iran,GK,Sepahan,132561,
Ibrahim Sangaré,Ivory Coast,MF,Nottingham Forest,375885,
Ibrahima Konaté,France,DF,Liverpool,357119,
Igor Sergeev,Uzbekistan,FW,Persepolis,185372,
Ismaël Koné,Canada,MF,Sassuolo,921655,
Jack Hendry,Scotland,DF,Al-Ettifaq,363223,
Jhon Córdoba,Colombia,FW,Krasnodar,185245,
Joe Bell,New Zealand,MF,Viking,345700,
Johan Vásquez,Mexico,DF,Genoa,532937,
Jorge Gutiérrez,Panama,DF,Deportivo La Guaira,443379,
José Luis Rodríguez,Panama,MF,Juárez,430339,
João Paulo,Cape Verde,MF,FCSB,211072,
Kenny McLean,Scotland,MF,Norwich City,126600,
Kevin Pina,Cape Verde,MF,Krasnodar,544586,
Lamine Camara,Senegal,MF,Monaco,918969,
Lewis Ferguson,Scotland,MF,Bologna,428563,
Luis Chávez,Mexico,MF,Dynamo Moscow,331059,
Luis Díaz,Colombia,FW,Bayern Munich,480692,
Luiz Henrique,Brazil,FW,Zenit Saint Petersburg,800175,
Léo Pereira,Brazil,DF,Flamengo,288431,
Malick Thiaw,Germany,DF,Newcastle United,521964,
Marco Friedl,Austria,DF,Werder Bremen,156990,
Marvin Keller,Switzerland,GK,Young Boys,500763,
Mateo Kovačić,Croatia,MF,Manchester City,51471,
Matheus Cunha,Brazil,FW,Manchester United,876739,
Mehdi Torabi,Iran,MF,Tractor,283833,
Michael Gregoritsch,Austria,FW,FC Augsburg,120205,
Miles Robinson,United States,DF,FC Cincinnati,468022,
Mohamed Koné,Ivory Coast,GK,Charleroi,911985,
Mohamed Salah,Egypt,FW,Liverpool,148455,
Mohammad Ghorbani,Iran,MF,Al Wahda,856087,
Mohammad Mohebi,Iran,MF,Rostov,603149,
Nathaniel Brown,Germany,DF,Eintracht Frankfurt,691892,
Nihad Mujakić,Bosnia and Herzegovina,DF,Gaziantep,380919,
Nikola Katić,Bosnia and Herzegovina,DF,Schalke 04,422051,
Patrick Wimmer,Austria,FW,VfL Wolfsburg,533295,
Pedro Neto,Portugal,FW,Chelsea,487465,
Rafael Leão,Portugal,FW,Milan,357164,
Raphinha,Brazil,FW,Barcelona,411295,
Raúl Jiménez,Mexico,FW,Fulham,206040,
Rodri,Spain,MF,Manchester City,86784,
Roberto Alvarado,Mexico,FW,Guadalajara,353583,
Roberto Lopes,Cape Verde,DF,Shamrock Rovers,166158,
Rui Silva,Portugal,GK,Sporting CP,234811,
Ryan Christie,Scotland,MF,Bournemouth,188077,
Ryan Thomas,New Zealand,MF,PEC Zwolle,259916,
Saleh Al-Shehri,Saudi Arabia,FW,Al-Ittihad,242267,
Santiago Bueno,Uruguay,DF,Wolverhampton Wanderers,438001,
Sead Kolašinac,Bosnia and Herzegovina,DF,Atalanta,94005,
Teboho Mokoena,South Africa,MF,Mamelodi Sundowns,436372,
Viktor Johansson,Sweden,GK,Stoke City,273742,
Víctor Muñoz,Spain,FW,Osasuna,935231,
Yasser Ibrahim,Egypt,DF,Al Ahly,237425,
Édouard Mendy,Senegal,GK,Al-Ahli,442531,
Anthony Gordon,England,FW,Newcastle United,503733,
Nico Williams,Spain,FW,Athletic Bilbao,709187,
Matěj Kovář,Czech Republic,GK,PSV Eindhoven,550829,
Francisco Conceição,Portugal,FW,Juventus,487474,
Diogo Costa,Portugal,GK,Porto,357153,
Ante Budimir,Croatia,FW,Osasuna,46413,
Can Uzun,Turkey,FW,Eintracht Frankfurt,816585,
Kaan Ayhan,Turkey,MF,Galatasaray,119031,
Hiroki Itō,Japan,DF,Bayern Munich,353892,
Djibril Sow,Switzerland,MF,Sevilla,212723,
Neymar,Brazil,FW,Santos,68290,
Weverton,Brazil,GK,Grêmio,69400,
Gabriel Martinelli,Brazil,FW,Arsenal,655488,
Yassine Bounou,Morocco,GK,Al-Hilal,207834,
Diego Gómez,Paraguay,MF,Brighton & Hove Albion,996897,
Julio Enciso,Paraguay,FW,Strasbourg,660867,
Zeki Çelik,Turkey,DF,Roma,251075,
Oliver Baumann,Germany,GK,TSG Hoffenheim,55089,
Pascal Groß,Germany,MF,Brighton & Hove Albion,82873,
Oumar Diakité,Ivory Coast,FW,Cercle Brugge,847279,
Parfait Guiagon,Ivory Coast,MF,Charleroi,624913,
Keito Nakamura,Japan,MF,Reims,405397,
Emiliano Martínez,Argentina,GK,Aston Villa,111873,
Ousmane Dembélé,France,FW,Paris Saint-Germain,288230,
Leandro Paredes,Argentina,MF,Boca Juniors,166237,
Daniel Muñoz,Colombia,DF,Crystal Palace,493003,
Cristiano Ronaldo,Portugal,FW,Al-Nassr,8198,
Bernardo Silva,Portugal,MF,Manchester City,241641,
Rúben Neves,Portugal,MF,Al-Hilal,225161,
Nuno Mendes,Portugal,DF,Paris Saint-Germain,616341,
